GO Process ID	Num_Genes_In_Ensembl
GO:2000502	3
GO:2000504	3
GO:0046639	3
GO:0042249	3
GO:0060948	3
GO:0060947	3
GO:0061309	3
GO:0003157	3
GO:0060166	3
GO:0060164	3
GO:0048133	3
GO:0034447	3
GO:0035793	3
GO:0042269	3
GO:0048302	3
GO:0048305	3
GO:0002331	3
GO:0061364	3
GO:0060368	3
GO:0072189	3
GO:2000095	3
GO:0046013	3
GO:0071677	3
GO:0071673	3
GO:0071672	3
GO:0061113	3
GO:0032827	3
GO:0071866	3
GO:0060438	3
GO:0030538	3
GO:0031914	3
GO:0045321	3
GO:2000563	3
GO:2000562	3
GO:0043585	3
GO:0060084	3
GO:0002074	3
GO:0060215	3
GO:0003130	3
GO:0002669	3
GO:0060414	3
GO:0048483	3
GO:0048625	3
GO:0003093	3
GO:0003095	3
GO:0060066	3
GO:0002051	3
GO:0010002	3
GO:0070668	3
GO:0061073	3
GO:0061074	3
GO:0014061	3
GO:0008292	3
GO:0001827	3
GO:0007176	3
GO:0072278	3
GO:0072277	3
GO:0060040	3
GO:0060763	3
GO:0035754	3
GO:0002034	3
GO:0021524	3
GO:0045123	3
GO:0060830	3
GO:0061055	3
GO:0061052	3
GO:0014043	3
GO:0014041	3
GO:0072102	3
GO:0007525	3
GO:0003056	3
GO:0003051	3
GO:0033292	3
GO:0050904	3
GO:0061198	3
GO:0002016	3
GO:0001781	3
GO:0001787	3
GO:0003192	3
GO:0030241	3
GO:0035054	3
GO:0061031	3
GO:2000078	3
GO:2000074	3
GO:0003310	3
GO:0045163	3
GO:0045590	3
GO:0061010	3
GO:0001552	3
GO:0001555	3
GO:2000051	3
GO:0003012	3
GO:0060579	3
GO:0002763	3
GO:0002767	3
GO:0021533	3
GO:0070487	3
GO:0033003	3
GO:0016476	3
GO:0060743	3
GO:0072161	3
GO:0060745	3
GO:0048936	3
GO:0003358	3
GO:0003350	3
GO:0002408	3
GO:0022007	3
GO:0022028	3
GO:0014819	3
GO:0051586	3
GO:2000401	3
GO:0021943	3
GO:0030887	3
GO:0030886	3
GO:0030888	3
GO:0033688	3
GO:0033687	3
GO:0045626	3
GO:0035284	3
GO:0060729	3
GO:0021882	3
GO:0060480	3
GO:0034241	3
GO:0021775	3
GO:0021776	3
GO:0002093	3
GO:0045988	3
GO:0048769	3
GO:0060399	3
GO:0060392	3
GO:0048295	3
GO:0048294	3
GO:2000172	3
GO:0070268	3
GO:0003256	3
GO:0045605	3
GO:0045604	3
GO:0045608	3
